,train,val
11,"{'metric': {'paraphrase_classifier': 0.6922267079353333}, 'loss': {'paraphrase_classifier': 0.5914876461029053}}","{'metric': {'paraphrase_classifier': 0.6878092288970947}, 'loss': {'paraphrase_classifier': 0.5946133136749268}}"
12,"{'metric': {'paraphrase_classifier': 0.6525439023971558}, 'loss': {'paraphrase_classifier': 0.6189097762107849}}","{'metric': {'paraphrase_classifier': 0.6504551768302917}, 'loss': {'paraphrase_classifier': 0.6205342411994934}}"
13,"{'metric': {'paraphrase_classifier': 0.6898096799850464}, 'loss': {'paraphrase_classifier': 0.5915734767913818}}","{'metric': {'paraphrase_classifier': 0.683405876159668}, 'loss': {'paraphrase_classifier': 0.5945923924446106}}"
14,"{'metric': {'paraphrase_classifier': 0.6744100451469421}, 'loss': {'paraphrase_classifier': 0.6006432175636292}}","{'metric': {'paraphrase_classifier': 0.666633665561676}, 'loss': {'paraphrase_classifier': 0.6058200597763062}}"
15,"{'metric': {'paraphrase_classifier': 0.6801910996437073}, 'loss': {'paraphrase_classifier': 0.5979080200195312}}","{'metric': {'paraphrase_classifier': 0.6762813925743103}, 'loss': {'paraphrase_classifier': 0.600111186504364}}"
16,"{'metric': {'paraphrase_classifier': 0.6943610310554504}, 'loss': {'paraphrase_classifier': 0.5856010317802429}}","{'metric': {'paraphrase_classifier': 0.6918167471885681}, 'loss': {'paraphrase_classifier': 0.5883503556251526}}"
17,"{'metric': {'paraphrase_classifier': 0.699802815914154}, 'loss': {'paraphrase_classifier': 0.5804746747016907}}","{'metric': {'paraphrase_classifier': 0.6970611214637756}, 'loss': {'paraphrase_classifier': 0.5832911729812622}}"
18,"{'metric': {'paraphrase_classifier': 0.6975483894348145}, 'loss': {'paraphrase_classifier': 0.5795349478721619}}","{'metric': {'paraphrase_classifier': 0.689590334892273}, 'loss': {'paraphrase_classifier': 0.5837624669075012}}"
19,"{'metric': {'paraphrase_classifier': 0.6825020909309387}, 'loss': {'paraphrase_classifier': 0.594993531703949}}","{'metric': {'paraphrase_classifier': 0.6788541674613953}, 'loss': {'paraphrase_classifier': 0.5975515246391296}}"
20,"{'metric': {'paraphrase_regressor': 0.2021532952785492}, 'loss': {'paraphrase_regressor': 2.1717734336853027}}","{'metric': {'paraphrase_regressor': 0.20919708907604218}, 'loss': {'paraphrase_regressor': 2.097074508666992}}"
21,"{'metric': {'paraphrase_regressor': 0.24339993298053741}, 'loss': {'paraphrase_regressor': 2.098992109298706}}","{'metric': {'paraphrase_regressor': 0.23351603746414185}, 'loss': {'paraphrase_regressor': 2.115636110305786}}"
22,"{'metric': {'paraphrase_regressor': 0.2629759907722473}, 'loss': {'paraphrase_regressor': 2.128218412399292}}","{'metric': {'paraphrase_regressor': 0.24072514474391937}, 'loss': {'paraphrase_regressor': 2.187422275543213}}"
23,"{'metric': {'paraphrase_regressor': 0.27293166518211365}, 'loss': {'paraphrase_regressor': 2.132457733154297}}","{'metric': {'paraphrase_regressor': 0.23796217143535614}, 'loss': {'paraphrase_regressor': 2.0846214294433594}}"
24,"{'metric': {'paraphrase_regressor': 0.2805918753147125}, 'loss': {'paraphrase_regressor': 2.042752981185913}}","{'metric': {'paraphrase_regressor': 0.24481165409088135}, 'loss': {'paraphrase_regressor': 2.0541391372680664}}"
25,"{'metric': {'paraphrase_regressor': 0.26859310269355774}, 'loss': {'paraphrase_regressor': 2.274214267730713}}","{'metric': {'paraphrase_regressor': 0.24573974311351776}, 'loss': {'paraphrase_regressor': 2.390022039413452}}"
26,"{'metric': {'paraphrase_regressor': 0.29342395067214966}, 'loss': {'paraphrase_regressor': 2.119741916656494}}","{'metric': {'paraphrase_regressor': 0.25656917691230774}, 'loss': {'paraphrase_regressor': 2.0725903511047363}}"
27,"{'metric': {'paraphrase_regressor': 0.2931056022644043}, 'loss': {'paraphrase_regressor': 2.0343782901763916}}","{'metric': {'paraphrase_regressor': 0.2535930871963501}, 'loss': {'paraphrase_regressor': 2.082632064819336}}"
28,"{'metric': {'paraphrase_regressor': 0.30477175116539}, 'loss': {'paraphrase_regressor': 2.018961191177368}}","{'metric': {'paraphrase_regressor': 0.25833114981651306}, 'loss': {'paraphrase_regressor': 2.0324172973632812}}"
29,"{'metric': {'paraphrase_regressor': 0.3077867031097412}, 'loss': {'paraphrase_regressor': 2.0118324756622314}}","{'metric': {'paraphrase_regressor': 0.26445630192756653}, 'loss': {'paraphrase_regressor': 2.0582435131073}}"
